family_id,family,variation,alias,parents,children,description,parameters,upper_bound,lower_bound,domain
9.0,Linear System,Sparse Linear System,,General Linear System,,"In this case, we restrict $A$ to be sparse (i.e. $A$ only has $O(n)$ nonzero entries).","$n$: number of variables and number of equations
$m$: number of nonzero entries in matrix
$k$: ratio between largest and smallest eigenvalues","O(n^2.37285956) deterministic, O(n^2.331642) randomized/roughly approximate",Omega(n),Numerical Analysis
9.0,Linear System,"Positive Definite, Hermitian Matrix",,General Linear System,,"In this case, we restrict $A$ to be positive definite and hermitian (or symmetric, if $A$ is real-valued).","$n$: number of variables and number of equations
$m$: number of nonzero entries in matrix
$k$: ratio between largest and smallest eigenvalues",O(n^2.37285956),Omega(n^2),Numerical Analysis
9.0,Linear System,"Non-Definite, Symmetric Matrix",,General Linear System,,"In this case, we restrict $A$ to be non-definite and symmetric.","$n$: number of variables and number of equations
$m$: number of nonzero entries in matrix
$k$: ratio between largest and smallest eigenvalues",O(n^2.37285956),Omega(n^2),Numerical Analysis
9.0,Linear System,Toeplitz Matrix,,General Linear System,Toeplitz Quantum Linear System,"In this case, we restrict $A$ to be a Toeplitz matrix.","$n$: number of variables and number of equations
$m$: number of nonzero entries in matrix
$k$: ratio between largest and smallest eigenvalues","min(O(n^2), C*O(n*log^2(n)))",Omega(n),Numerical Analysis
9.0,Linear System,Vandermonde Matrix,,General Linear System,,"In this case, we restrict $A$ to be a Vandermonde matrix.","$n$: number of variables and number of equations
$m$: number of nonzero entries in matrix
$k$: ratio between largest and smallest eigenvalues",O(n^2),Omega(n),Numerical Analysis
9.0,Linear System,Overdetermined System,,General Linear System,,"In this case, we let $A$ be a consistent $m \times n$ matrix with $m \geq n$","$n$: number of variables
$m$: number of equations",O(n^2.373),Omega(n),Numerical Analysis
9.0,Linear System,Sparse Solution,,General Linear System,,"In this case, we want a sparse solution $x$ that minimizes $\| Ax - b\|$","$n$: number of variables and equations
$m$: number of nonzero entries in matrix",,,
9.0,Linear System,Quantum Linear System,QLSP,General Linear System,,"In this case, we want to produce some $|x\rangle$ that is proportional to the solution $x$. $A$ is also usually restricted to be Hermitian, but this is without loss of generality.","$n$: number of variables and number of equations
$m$: number of nonzero entries in matrix
$k$: ratio between largest and smallest eigenvalues",,,
9.0,Linear System,Sparse Quantum Linear System,,"Quantum Linear System, Linear System",,"In this case, we restrict $A$ to have $O(log(n))$ nonzero entries.","$n$: number of variables and number of equations
$m$: number of nonzero entries in matrix
$k$: ratio between largest and smallest eigenvalues",,,
9.0,Linear System,Bounded Norm Quantum Linear System,,"Quantum Linear System, Linear System",,"In this case, we restrict $A$ to have spectral norm bounded by a constant.","$n$: number of variables and number of equations
$m$: number of nonzero entries in matrix
$k$: ratio between largest and smallest eigenvalues",,,
9.0,Linear System,Toeplitz Quantum Linear System,,"Quantum Linear System, Toeplitz Matrix, Linear System",,"In this case, we restrict $A$ to be a Toeplitz matrix.","$n$: number of variables and number of equations
$m$: number of nonzero entries in matrix
$k$: ratio between largest and smallest eigenvalues",,,
10.0,Linear Programming,General Linear Programming,,,Linear Programming with Reals,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,"$n$: number of variables
$m$: number of constraints
$L$: length of input, in bits",,,Numerical Analysis
10.0,Linear Programming,Linear Programming with Reals,,General Linear Programming,Integer Linear Programming,"In this case, we allow all of the variables to be any real number.","$n$: number of variables
$m$: number of constraints
$L$: length of input, in bits","O(n^2.37285956*polylog(n, m, L))",,Numerical Analysis
10.0,Linear Programming,Integer Linear Programming,ILP,Linear Programming with Reals,0-1 Linear Programming,"In this case, we require all of the variables to be integers.","$n$: number of variables
$m$: number of constraints
$L$: length of input, in bits",,"Omega(poly(n, m, L))",Numerical Analysis
10.0,Linear Programming,0-1 Linear Programming,,Integer Linear Programming,,"In this case, we require all of the variables to be either 0 or 1.","$n$: number of variables
$m$: number of constraints
$L$: length of input, in bits",,"Omega(poly(n, m, L))",Numerical Analysis
11.0,Line Segment Intersection,"Reporting all intersection points, line segments",,,"Reporting all intersection points, generalized segments","The line segment intersection problem supplies a list of line segments in the Euclidean plane and asks about the points where they intersect (cross), if any. In this case, we wish to report all points of intersection.","$n$: number of line segments
$k$: number of points of intersection",O(n*log(n)+k),Omega(n*log(n)+k),Image Processing
11.0,Line Segment Intersection,"Reporting all intersection points, generalized segments",,"Reporting all intersection points, line segments",,"In this case, the segments are generalized (i.e. have algebraic degree ≥1); we still wish to report all points of intersection.","$n$: number of line segments
$k$: number of points of intersection",O(n*log(n)+k),Omega(n*log(n)+k),Image Processing
11.0,Line Segment Intersection,"Reporting all intersection points, convex polygons",,"Reporting all intersection points, general polygons",,"In this case, we are supplied with a list of convex polygons, and we wish to report all regions of intersection.","$n$: number of line segments
$k$: number of points of intersection",O(n*log(n)+k),,Image Processing
11.0,Line Segment Intersection,"Reporting all intersection points, general polygons",,,"Reporting all intersection points, convex polygons","In this case, we are supplied with a list of polygons (not necessarily convex), and we wish to report all regions of intersection.","$n$: number of line segments
$k$: number of points of intersection",O((n+k)*log(n)),,Image Processing
11.0,Line Segment Intersection,"Counting number of intersection points, line segments",,"Reporting all intersection points, line segments",,"In this case, we are supplied with a list of line segments, and we wish to count the number of points of intersection.","$n$: number of line segments
$k$: number of points of intersection","O(min(n^1.695, n*log(n)+k))",,Image Processing
11.0,Line Segment Intersection,Intersection detection (whether there exists an intersection),,,,,,,,
12.0,Convex Hull,2-dimensional Convex Hull,,d-dimensional Convex Hull,"2-dimensional Convex Hull, Online; 2-dimensional Convex Hull, Dynamic","The convex hull or convex envelope or convex closure of a set X of points in the Euclidean plane or in a Euclidean space (or; more generally; in an affine space over the reals) is the smallest convex set that contains X. Here, we are looking at the 2-dimensional case.","$n$: number of line segments
$h$: number of points on the convex hull",O(n*log(h)),Omega(n*log(h)),Image Processing
12.0,Convex Hull,3-dimensional Convex Hull,,d-dimensional Convex Hull,,"Here, we are looking at the 3-dimensional case.","$n$: number of line segments
$h$: number of points on the convex hull",O(n*log(h)),Omega(n*log(h)),Image Processing
12.0,Convex Hull,d-dimensional Convex Hull,,,2-dimensional Convex Hull; 3-dimensional Convex Hull,"Here, we are looking at the general d-dimensional case.","$n$: number of line segments
$h$: number of points on the convex hull
$f_1$: number of facets on the convex hull
$f_2$: number of subfacets on the convex hull",,,Image Processing
12.0,Convex Hull,"2-dimensional Convex Hull, Online",,2-dimensional Convex Hull,,"Here, we are given the input points one by one, and must maintain the current convex hull after each input point.","$n$: number of line segments
$h$: number of points on the convex hull","O(log(n)) per operation, O(n*log(n)) total","Omega(log(n)) per operation, Omega(n*log(n)) total",Image Processing
12.0,Convex Hull,"2-dimensional Convex Hull, Dynamic",,2-dimensional Convex Hull,,"Here, the input points may be sequentially inserted or deleted, and the convex hull must be updated after each insert/delete operation.","$n$: number of line segments
$h$: number of points on the convex hull",,,Image Processing
12.0,Convex Hull,"Minimum-Area Star-Shaped Hull, Restricted",,"Minimum-Area Star-Shaped Hull, Unestricted",,"Given a simple polygon $P$ having $n$ vertices, compute a minimum area star-shaped simple polygon $P^*$ that contains $P$ and has as its vertices a subset of those of $P$ (the restricted problem). (A set $S$ is star-shaped with respect to point $z\in S$ if for every point $w\in S$ the line segment $(z, w)$ is contained in $S$. We say that $S$ is star-shaped if it is star-shaped with respect to some point $z$, and we refer to such a point $z$ as a center point of $S$)",$n$: number of vertices,O(n^2),,Image Processing
12.0,Convex Hull,"Minimum-Area Star-Shaped Hull, Unestricted",,,"Minimum-Area Star-Shaped Hull, Restricted","Given a simple polygon $P$ having $n$ vertices, compute a minimum area star-shaped simple polygon $P^*$ that contains $P$. (the unrestricted problem).",$n$: number of vertices,O(n^2 p(n)),,Image Processing
13.0,Strongly Connected Components,Strongly Connected Components,SCCs,,Connected Components in an undirected graph; Transitive Closure; Maximum Strongly Connected Component; Strong Connectivity (dynamic); Connected Subgraph; Biconnected Components,The strongly connected components or diconnected components of an arbitrary directed graph form a partition into subgraphs that are themselves strongly connected.,"$V$: number of vertices
$E$: number of edges",O(V+E),Omega(V+E),Combinatorics
13.0,Strongly Connected Components,Connected Components in an undirected graph,CC,Strongly Connected Components,,,,,,
13.0,Strongly Connected Components,Transitive Closure,,Strongly Connected Components,,"In this problem, we also want to compute the transitive closure of a graph. (Perhaps this should be a separate problem?)","$V$: number of vertices
$E$: number of edges",,,Combinatorics
13.0,Strongly Connected Components,Transitive Closure of a symmetric Boolean matrix,,Strongly Connected Components,,,,,,
