family_id,family,variation,alias,parents,children,description,parameters,upper_bound,lower_bound,domain
100.0,All Maximal Non-Branching Paths In A Graph,All Maximal Non-Branching Paths in a Graph,,,,"A node $v$ in a directed graph $G$ is called a 1-in-1-out node if its indegree and outdegree are both equal to 1, i.e., $in(v) = out(v) = 1$.  We can rephrase the definition of a ""maximal non-branching path"" from the main text as a path whose internal nodes are 1-in-1-out nodes and whose initial and final nodes are not 1-in-1-out nodes.

The problem is to find all maximal non-branching paths in a given graph.","$n$: number of vertices
$m$: number of edges",,,Bioinformatics
101.0,Link Analysis,InDegree Analysis,,,,"A simple heuristic that can be viewed as the predecessor of all Link Analysis Ranking algorithms is to rank the pages according to their popularity (also referred to as visibility [Marchiori 1997]). The popularity of a page is measured by the number of pages that link to this page. We refer to this algorithm as the InDegree algorithm, since it ranks pages according to their in-degree in the graph $G$. That is, for every node $i$, $a_i = |B(i)|$.","$n$: number of pages
$m$: number of hyperlinks
$z$: # of topics/categories",,,Combinatorics
101.0,Link Analysis,Personalized PageRank,,,,"Node proximity measure in graph mining and network analysis. Given a source node s and a target node t, the PPR value π(s,t) represents the probability that a random walk from s terminates at t, and thus indicates the bidirectional importance between s and t.",,,,
101.0,Link Analysis,Dynamic Personalized PageRank,,,,"Computing PPRs exactly can require extremely expensive preprocessing (in both time and space).  Dynamic PPR works in the following way: during preprocessing, we compute ""sketchy"" random walk fingerprints for a small fraction of nodes, chosen using query log statistics. At query time, a small ""active"" subgraph is identified, bordered bynodes with indexed fingerprints. These fingerprints are adaptively loaded to various resolutions to form approximate personalized Pagerank vectors (PPVs). PPVs at remaining active nodes are now computed iteratively.",,,,
101.0,Link Analysis,Single-Sourced Personalized PageRank,,,,Single-source PPR (SSPPR) enumerates all nodes in G and returns the top-k nodes with the highest PPR values with respect to a given source s.,,,,
101.0,Link Analysis,Link Analysis/PageRank,,,,"Hyperlink structures are used to determine the relative authority of a Web page and produce improved algorithms for the ranking of Web search results. PageRank is a particular instance of this kind of ranking system, and is widely used by Google when displaying search results.",,,,
102.0,Image Compositing,Image Compositing,,,,Image compositing is the act of creating a single image from multiple images.,,,,Image Processing
103.1,Texture Synthesis,Texture Synthesis,,,,"Given a texture sample, synthesize a new texture that, when perceived by a human observer, appears to be generated by the same underlying stochastic process.",$n$: number of pixels,,,Image Processing
103.2,Distributed Locking Algorithms,Distributed Locking Algorithms,,,,"The purpose of a lock is to ensure that among several nodes that might try to do the same piece of work, only one actually does it (at least only one at a time). That work might be to write some data to a shared storage system, to perform some computation, to call some external API, or suchlike. At a high level, there are two reasons why you might want a lock in a distributed application: for efficiency or for correctness.","$n$: number of clients
$f$: number of files",,,Operating Systems
103.2,Distributed Locking Algorithms,Consensus,,,,"Roughly speaking, Consensus allows processes to reach a common decision, which depends on their initial inputs, despite failures. Consensus algorithms can be used to solve many problems that arise in practice, such as electing a leader or agreeing on the value of a replicated sensor.",$n$: number of processes,,,Operating Systems
104.0,Cyclic Peptide Sequencing Problem,Cyclic Peptide Sequencing Problem,CPSP,,,"Given an experimental $MS^3$ spectrum $S$, find a cyclic peptide $P$ maximizing the number of shared masses between $S$ and the theoretical spectrum of $P$.","$n$: size of peptide, in daltons
$m$: number of elements in experimental spectrum",,,Bioinformatics
105.0,Texture Mapping,Diffuse Reflection,,,,"Texture mapping means the mapping of a function onto a surface in 3D. The domain of the function can be one, two, or three dimensional, and it can be represented by either an array or a mathematical function.

The source image (texture) is mapped onto a surface in 3D object space, which is then mapped to the destination image (screen) by the viewing projection. Texture space is labeled $(u, v)$, object space is labeled $(x_0, y_0, z_0)$, and screen space is labeled $(x, y)$.

Diffuse reflection is the light that is scattered off of the incident surface.",,,,Image Processing
106.0,Texture Mapping,Specular Reflection,,,,"Texture mapping means the mapping of a function onto a surface in 3D. The domain of the function can be one, two, or three dimensional, and it can be represented by either an array or a mathematical function.

The source image (texture) is mapped onto a surface in 3D object space, which is then mapped to the destination image (screen) by the viewing projection. Texture space is labeled $(u, v)$, object space is labeled $(x_0, y_0, z_0)$, and screen space is labeled $(x, y)$.

Specular reflection is the light that is perfectly reflected off of the incident surface.",,,,Image Processing
107.0,Point-In-Polygon,Point-in-Polygon,,,,"With a given polygon $P$ and an arbitrary point $q$, determine whether point $q$ is enclosed by the edges of the polygon.",$n$: number of edges of polygon,,,Image Processing
108.0,Image Segmentation,Image Segmentation,,,,"Image segmentation is the division of an image into different regions, each having certain properties. It is the first step of image analysis which aims at either a description of an image or a classification of the image if a class label is meaningful. An example of the former is the description of an office
scene. An example of the latter is the classification of the image of a cancerous cell. Image segmentation is a critical component of an image recognition system because errors in segmentation might propagate to feature extraction and classification.",,,,Image Processing
109.0,Mesh Simplification,Mesh Simplification,,,,"Given a surface mesh, accurately simplify it so that you may render the mesh accurately with less computing power.",,,,Image Processing
110.0,Clock Synchronization In Distributed Systems,Clock Synchronization in Distributed Systems,,,,The difference between the largest and the smallest clock values among all stations in a Mobile Ad Hoc Network (MANET) is called the maximum clock offset. The goal is to minimize the maximum clock offset.,$n$: number of nodes in network,,,Operating Systems
111.0,Pomdps,POMDPs,Partially Observable Markov Decision Process,,,"At (discrete) time step $t$, the environment is assumed to be in some state $X_t$. The agent then performs an action (control) $A_t$, whereupon the environment (stochastically) changes to a new state $X_{t+1}$. The agent doesn’t see the environment state, but instead receives an observation $Y_t$, which is some (stochastic) function of $X_t$. (If $Y_t = X_t$, the POMDP reduces to a fully observed MDP.) In addition, the agent receives a special observation signal called the reward, $R_t$. The POMDP is characterized by the state transition function $P(X_{t+1}|X_t, A_t)$, the observation function $P(Y_t|X_t, A_{t−1})$, and the reward function $E(R_t|X_t, A_{t−1})$. The goal of the agent is to learn a policy $\pi$ which maps the observation history (trajectory) into an action $A_t$ to maximize $\pi$’s quality or value.",,,,Robotics
112.0,Rasterization,Rasterization,,,,"Raster-scan displays are most commonly driven by a frame buffer, a memory that stores the color value for every picture element on the screen and refreshes the display continuously. The process of generating these picture clement values from a geometric description of the image is known as rasterization.",,,,Image Processing
113.0,Texture Mapping,Environment Mapping,Reflection Mapping; Illumination Mapping;,,,"Texture mapping means the mapping of a function onto a surface in 3D. The domain of the function can be one, two, or three dimensional, and it can be represented by either an array or a mathematical function.

The source image (texture) is mapped onto a surface in 3D object space, which is then mapped to the destination image (screen) by the viewing projection. Texture space is labeled $(u, v)$, object space is labeled $(x_0, y_0, z_0)$, and screen space is labeled $(x, y)$.

Illumination mapping is the mapping of specular or diffuse reflection. It is also known as reflection mapping or environment mapping.",,,,Robotics
114.0,Occupancy Grid Mapping,Occupancy Grid Mapping,OGM,,,"Assuming a robot's pose is known, generate a occupancy grid mapping of the area. The occupancy grid is a multidimensional random field that maintains stochastic estimates of the occupancy state of the cells in a spatial lattice. To construct a sensor-derived map of the robot’s world, the cell state estimates are obtained by interpreting the incoming range readings using probabilistic sensor models. Bayesian estimation procedures allow the incremental updating of the occupancy grid using readings taken from several sensors over multiple points of view.",,,,Robotics
115.0,Slam Algorithms,SLAM Algorithms,,,,Simultaneous localization and mapping (SLAM) is the computational problem of constructing or updating a map of an unknown environment while simultaneously keeping track of an agent's location within it.,,,,Robotics
116.0,D-Neighborhood Of A String,d-Neighborhood of a String,,,,"Given a DNA string pattern and an integer $d$, find the collection of strings that are within a $d$-neighborhood of the given pattern. A $d$-neighborhood is the set of all $k$-mers whose Hamming distance from the pattern is at most $d$.","$n$: length of string
$d$: neighborhood distance threshold
$\sigma$: size of alphabet",,,Bioinformatics
117.0,Maximum Cut,Maximum Cut,Max Cut,,,"Given a graph $G=(V, E)$ with edge weights $c_e > 0$ for all $e\in E$, find a cut $\delta(W)$ such that $c(\delta(W)):=\Sigma_{e\in \dela(W)} c_e$ is as large as possible.","$n$: number of vertices
$m$: number of edges",,,Combinatorics
117.0,Maximum Cut,Maximum Cut for Planar Graphs,,Maximum Cut,,"In this case, the graph $G=(V, E)$ that we consider is planar.","$n$: number of vertices
$m$: number of edges",,,Combinatorics
118.0,Wiener Index,Minimum Wiener Connector Problem,,,,"Given a connected graph $G = (V, E)$ and a set $Q \subseteq V$ of query vertices, find a subgraph of $G$ that connects all query vertices and has minimum Wiener index.","$n$: number of vertices
$m$: number of edges
$q$: number of query vertices",$\tilde{O}(qm) for an O(1)-approximation,NP-Hard,Combinatorics
118.0,Wiener Index,Undirected Wiener Index,,,,Calculate the sum of the lengths of the shortest paths between all pairs of vertices in an undirected graph (typically in the chemical graph representing the non-hydrogen atoms in the molecule).,$n$: number of vertices (number of non-hydrogen atoms in the molecule),,,Combinatorics
119.0,Determinant Of Matrices With Integer Entries,Determinant of Matrices with Integer Entries,,,,"Calculate the determinant of a given matrix with integer matrices. For such matrices, the determinant is also an integer.",$n$: dimension of matrix,,,Numerical Analysis
120.0,Integer Relation,Integer Relation Among Reals,,,Integer Relation Among Integers,"Given a vector $x \in \mathbb{R}^n$, find an integer relation, i.e. a non-zero vector $m \in \mathbb{Z}^n$ such that $<x, m> = 0$",$n$: dimensionality of vectors,O(n^3),,Numerical Analysis
120.0,Integer Relation,Integer Relation Among Integers,,Integer Relation Among Reals,,"Given a vector $x \in \mathbb{Z}^n$, find an integer relation, i.e. a non-zero vector $m \in \mathbb{Z}^n$ such that $<x, m> = 0$",$n$: dimensionality of vectors,,,Numerical Analysis
122.0,Sequence-To-Graph Alignment,Sequence-To-Graph Alignment,Pattern Matching on Hypertext,,,"This is pattern matching where you are given a pattern and a hypertext graph. The hypertext model is that the text forms a graph of $N$ nodes and $E$ edges, where a string is stored inside each node, and the edges indicate alternative texts that may follow the current node. The pattern is still a simple string of length $m$. It is also customary to transform this graph into a one-character hypertext, i.e. one where there is exactly one character per node (by converting each node containing a text of length $l$ into a chain of $l$ nodes). This graph has $n$ nodes and $e$ edges (note that $n$ is the text size and $e = n − N + E$).

Additonal notes: (changes are allowed in the query sequence alone) Linear gap penalty?","$N$: number of vertices in original hypertext graph
$E$: number of edges in original hypertext graph
$m$: length of pattern
$n$: number of vertices in converted graph (total text size)
$e$: number of edges in converted graph",,,Combinatorics
122.0,Sequence-To-Graph Alignment,Sequence-to-Graph Alignment with DAGs,,,,,,,,
123.0,Logarithm Calculations,Discrete Logarithm Over Finite Fields,,,,"Let $F_{p^n}$ denote the finite field of $p^n$ elements, where $p$ is a prime. Let $x$ be a generator for the multiplicative group of $F_{p^n}$. The discrete logarithm problem over $F_{p^n}$ is to compute, for any given nonzero $h \in F_{p^n}$, the least nonnegative integer $e$ such that $x^e=h$. In this context we shall write $e=\log_x h$.",$n$: number of digits/bits in the order of the finite group,,,Statistics
124.0,Rod-Cutting Problem,Rod-Cutting Problem,,,,"Given a rod of length $n$, and prices $p_i$ for which one can sell a segment of the rod of length $i$ ($1 \leq i \leq n$), find the splitting of the rod for which one can earn the most money once they sell the rod segments produced.",$n$: length of rod,,,Combinatorics
125.0,Self-Balancing Trees Creation,Self-Balancing Trees Creation,,,,Create a self-balancing tree given a list of elements.,$n$: size of tree,,,Combinatorics
126.0,Self-Balancing Trees Insertion,Self-Balancing Trees Insertion,,,,Insert a given element into a self-balancing tree.,$n$: size of tree,,,Combinatorics
127.0,Self-Balancing Trees Deletion,Self-Balancing Trees Deletion,,,,Delete a given element from a self-balancing tree.,$n$: size of tree,,,Combinatorics
128.0,Self-Balancing Trees Search,Self-Balancing Trees Search,,,,Search for a given element within a self-balancing tree.,$n$: size of tree,,,Combinatorics
129.0,Transitive Reduction Problem,Transitive Reduction Problem of Directed Graphs,,,,"A directed graph $G^t$ is said to be a transitive reduction of the directed graph $G$ provided that (i) $G$ has a directed path from vertex $u$ to vertex $v$ if and only if $G$ has a directed path from vertex $u$ to vertex $v$, and (ii) there is no graph with fewer arcs than $G^t$ satisfying condition (i). The problem asks to find such a graph $G^t$ for a given digraph $G$.","$n$: number of vertices
$m$: number of edges",O(n^omega) where omega is the exponent on boolean matrix multiplication,Omega(n^2),Combinatorics
130.0,Change-Making Problem,Change-Making Problem,,,,"Given an unlimited amount of coins of denominations $c_1, \ldots, c_n$, and a desired sum $S$, find the minimum number of coins necessary to make $S$.","$n$: number of coin denominations
$S$: sum to be made",O(nS),,Combinatorics
131.0,Turnpike Problem,Turnpike Problem,,,,"Given $n$ points and $\binom{n}{2}$ distances, find each distance's corresponding pair of points.",$n$: number of points,O(2^n n \log n),,Combinatorics
132.0,N-Queens Problem,Counting Solutions,,,,"How many ways can one put $n$ queens on an $n \times n$ chessboard so that no two queens attack each other? In other words, how many points can be placed on an $n \times n$ grid so that no two are on the same row, column, or diagonal?","$n$: number of queens, size of chessboard",O(8^n),,Combinatorics
132.0,N-Queens Problem,Constructing Solutions,,,,What are all of the ways can one put $n$ queens on an $n \times n$ chessboard so that no two queens attack each other?,"$n$: number of queens, size of chessboard",O(8^n),,Combinatorics
132.0,N-Queens Problem,n-Queens Completion,,,,"Given an $n \times n$ chessboard that already has $k$ queens on it, complete the board such that there are $n$ queens, all of which cannot attack each other.","$n$: size of chessboard
$k$: number of queens given",O(8^n),,Combinatorics
133.0,Median String Problem,Median String Problem with Unbounded Alphabets,,,Median String Problem with Bounded Alphabets,"Given an unbounded alphabet $\Sigma$, a set $W$ of strings over $\Sigma$, and the Levenshtein distance between strings, find a string over $\Sigma$ that minimizes the sum of distances to the strings of $W$.",$n$: number of strings,2^O(n),,Combinatorics
133.0,Median String Problem,Median String Problem with Bounded Alphabets,,Median String Problem with Unbounded Alphabets,Median String Problem with Binary Alphabets,"Given a bounded alphabet $\Sigma$, a set $W$ of strings over $\Sigma$, and the Levenshtein distance between strings, find a string over $\Sigma$ that minimizes the sum of distances to the strings of $W$.",$n$: number of strings,2^O(n),,Combinatorics
133.0,Median String Problem,Median String Problem with Binary Alphabets,,Median String Problem with Bounded Alphabets,,"Given a binary alphabet $\Sigma$, a set $W$ of strings over $\Sigma$, and the Levenshtein distance between strings, find a string over $\Sigma$ that minimizes the sum of distances to the strings of $W$.",$n$: number of strings,O(2^n),,Combinatorics
134.0,Frequent Words With Mismatches Problem,Frequent Words with Mismatches Problem,,,,"Given two strings, determine the most frequent substring with at most $k$ mismatches, where mismatches are not counted towards the length of the substring.","$n$: length of string
$k$: length of words
$d$: number of allowed mismatches
$\sigma$: size of alphabet",O(n^2),,Combinatorics
135.0,Tower Of Hanoi,Tower of Hanoi,,,,"The Tower of Hanoi puzzle consists of $n$ discs, no two of the same size, stacked on $p \geq 3$ vertical pegs, in such a way that no disc lies on top of a smaller disc. A permissible $move$ is to take the top disc from one of the pegs and move it to one of the other pegs, as long as it is not placed on top of a smaller disc. Initially, they are all stacked on the first peg. The goal is to end up with them all stacked on the last peg.","$n$: number of discs
$p$: number of pegs",,,Combinatorics
136.0,The Frequent Words Problem,The Frequent Words Problem,The Frequent $k$-mers Problem,,,"Given a string of length $n$ and in input integer $k$, determine the most frequent $k$-mers in the string, i.e. the most frequent words of length $k$.","$n$: length of string
$k$: length of words
$\sigma$: size of alphabet",O(n),,Statistics
137.0,Integral Equations,Fredholm Equations,,,,"Integral equations are equations where an unknown function appears under an integral sign.

Fredholm equations have both limits of integration fixed, and there are three types of Fredholm equations.",,,,Numerical Analysis
137.0,Integral Equations,Volterra Equations,,,,"Integral equations are equations where an unknown function appears under an integral sign.

Volterra equations have one limit of integration fixed while the other is a variable.",,,,Numerical Analysis
138.0,One-Way Hash Functions,Keyed Hash Functions,,,,"A hash function, otherwise known as a one-way hash function, takes an arbitrary message of arbitrary length and creates an output (a hash) of a fixed length. The main characteristics of a cryptographic hash function are that given a message, it is easy to compute the hash; given the hash, it is difficult to compute the message; and that given a message, it is difficult to find a different message that would produce the same hash (this is known as a collision).

A keyed hash function takes a message and a secret key as input and outputs a fixed-length hash.",n: length of message,,,Cryptography
138.0,One-Way Hash Functions,Unkeyed Hash Functions,,,,"A hash function, otherwise known as a one-way hash function, takes an arbitrary message of arbitrary length and creates an output (a hash) of a fixed length. The main characteristics of a cryptographic hash function are that given a message, it is easy to compute the hash; given the hash, it is difficult to compute the message; and that given a message, it is difficult to find a different message that would produce the same hash (this is known as a collision).

An unkeyed hash function takes just a message as input and outputs a fixed-length hash.",n: length of message,,,Cryptography
139.0,Secret Sharing,Secret Sharing,,,,"Secret Sharing is the splitting up of a secret amongst a group such that no individual can learn the entire secret alone, but when a sufficient amount of the group comes together with their parts of the secret, they can reconstruct the secret.","$n$: size of the group the secret is being shared with
$t$: threshold number of players",,,Cryptography
140.0,Solutions To Nonlinear Equations,Solutions to Nonlinear Equations,,,,"Compute the solutions to a given continious, differentiable, nonlinear equation over the reals of the form $f(x) = 0$.","$\epsilon$: (additive) tolerance error
$a, b$: endpoint values, with $b>a$
$n_{max}$: maximum number of iterations$",,,Numerical Analysis
,Solutions To Nonlinear Equations,Solutions to Multidimensional Nonlinear Equations,,,,"Compute the solutions to a given continious, differentiable, nonlinear equation over the reals of the form $f(x_1, x_2, x_3, ...) = 0$.",,,,Numerical Analysis
141.0,Block Ciphers,Block Ciphers,,,,"A block cipher is a pair of functions $E: \{0, 1\}^k \times \{0, 1\}^n \rightarrow \{0, 1\}^n$ and $D: \{0, 1\}^k \times \{0, 1\}^n \rightarrow \{0, 1\}^n$ that encode and decode a length $n$ string with a length $k$ key.","$n$: text length (block size)
$k$: key length",,,Cryptography
142.0,Polynomial Interpolation,Polynomial Interpolation,,,,"Given a finite number of points $x_1, \ldots , x_n$, some real constants $y_1, \ldots , y_n$ and a subspace $V$ of $\Pi^d$, find a polynomial $p \in V$, such that

$p(x_j) = y_j$, $j = 1, ... , n$","$n$: number of points
$d$: dimension of space",,,Numerical Analysis
142.0,Polynomial Interpolation,2-D Polynomial Interpolation,,,,,,,,
143.0,Greatest Common Divisor,Greatest Common Divisor,GCD,,,"Let $a_1, \ldots, a_m$ be given nonzero integers. Then $g$ is called the greatest common divisor (GCD) of $a_1, \ldots, a_m$ if and only if it is the largest integer that divides all $a_1, \ldots, a_m$.",$n$: sum of number of bits among the integers,,,Statistics
145.0,Interval Scheduling,Unweighted Interval Scheduling,,,,"Given are $n$ intervals of the form $[s_j , f_j)$ with $s_j < f_j$, for $j = 1, \ldots , n$. These intervals are the jobs that require uninterrupted processing during that interval. We will assume (without loss of generality) that the $s_j$’s and the $f_j$’s are nonnegative integers. We say that two intervals (or jobs) overlap if their intersection is nonempty, otherwise they are called disjoint. Further, there are machines. In the basic interval scheduling problem each machine can process at most one job at a time and is always available, i.e. each machine is continuously available in $[0,\infty)$. We assume that, when processed, each job is assigned to a single machine, thus, we do not allow interrupting a job and resuming it on another machine, unless explicitly stated otherwise. The basic interval scheduling problem is now to process all jobs using a minimum number of machines. In other words, find an assignment of jobs to machines such that no two jobs assigned to the same machine overlap while using a minimum number of machines. We call an assignment of (a subset of) the jobs to the machines a schedule.","$n$: number of tasks (intervals)
$k$: number of machines (resources)",,,Operating Systems
145.0,Interval Scheduling,"Unweighted Interval Scheduling, Online",,,,"Given are $n$ intervals of the form $[s_j , f_j)$ with $s_j < f_j$, for $j = 1, \ldots , n$. These intervals are the jobs that require uninterrupted processing during that interval. We will assume (without loss of generality) that the $s_j$’s and the $f_j$’s are nonnegative integers. We say that two intervals (or jobs) overlap if their intersection is nonempty, otherwise they are called disjoint. Further, there are machines. In the basic interval scheduling problem each machine can process at most one job at a time and is always available, i.e. each machine is continuously available in $[0,\infty)$. We assume that, when processed, each job is assigned to a single machine, thus, we do not allow interrupting a job and resuming it on another machine, unless explicitly stated otherwise. The basic interval scheduling problem is now to process all jobs using a minimum number of machines. In other words, find an assignment of jobs to machines such that no two jobs assigned to the same machine overlap while using a minimum number of machines. We call an assignment of (a subset of) the jobs to the machines a schedule.

This is the online version of the problem.","$n$: number of tasks (intervals)
$k$: number of machines (resources)",,,Operating Systems
145.0,Interval Scheduling,Weighted Interval Schedule Maximization Problem (ISMP),Weighted Activity Selection Problem,,,"In Weighted Interval Scheduling, each interval has an associated weight. The goal is to maximize the weights of the accepted (and not interrupted) intervals.","$n$: number of tasks (intervals)
$k$: number of machines (resources)",,,Operating Systems
145.0,Interval Scheduling,"Preemptive Scheduling on Many Machines, Minimize Lateness",,,,,,,,
147.0,Deadlock Avoidance,Deadlock Avoidance,,,Dining Philosophers Problem,"A deadlock means that the processing of some parts, once started, cannot finish because each of these parts requests for its advancement some resource(s) currently held by some other part(s) in this set.

In a deadlock avoidance approach, the controller must ensure that the granting of resources to any process will lead to a resulting state which is “safe,” i.e., a state from which all the parts being processed can terminate.","$n$: number of processes
$m$: number of resource types",,,Operating Systems
146.0,Deadlock Avoidance,Dining Philosophers Problem,,Deadlock Avoidance,,"There are $n$ philosophers numbered 0 through $n-1$, seated around a circle table. Their only problem--besides philosophy--is that the dish served is a very difficult kind of spaghetti, that has to be eaten with two forks. There are two forks next to each plate, so that presents no difficulty: as a consequence, however, no two neighbors may be eating simultaneously. The philosophers' lives consist of an alternation between eating and thinking. The goal is to devise a strategy such that no philosopher is stuck thinking forever and each philosopher may eat at reasonable intervals.",$n$: number of philosophers,,,Operating Systems
148.0,Page Replacements,Offline,,,,"When page fault occurs during the program execution, operating systems use page replacement algorithms to select a victim page from primary memory and makes room for the required page.","$n$: number of page requests
$k$: number of pages able to fit in cache",,,Operating Systems
148.0,Page Replacements,Online,,,,"When page fault occurs during the program execution, operating systems use page replacement algorithms to select a victim page from primary memory and makes room for the required page.","$n$: number of page requests
$k$: number of pages able to fit in cache",,,Operating Systems
149.0,Recovery,"Steal, No-Force",,,,"Recovery is the process of reverting back to a safe state prior to a system failure.

With a Steal/No-Force policy, the recovery algorithm will write possibly uncommited data to memory, while not forcing all commits to memory.",$n$: number of transactions before crash,O(n),,Operating Systems
149.0,Recovery,"No-Steal, Force",,,,"Recovery is the process of reverting back to a safe state prior to a system failure.

With a No-Steal/Force policy, the recovery algorithm will never write uncommited data to memory, but will force all commits to memory.",$n$: number of transactions before crash,,,Operating Systems
153.0,Link Analysis,Link Analysis,,,,"Unlike ""flat"" document collections, the World Wide Web is hypertext and provides considerable auxiliary information on top of the text of the web pages, such as link structure and link text. With link analysis, we take advantage of the link structure of the Web to produce a global ""importance"" ranking of every web page that helps search engines and users quickly make sense of the vast heterogeneity of the World Wide Web.","$n$: number of pages
$m$: number of hyperlinks
$z$: # of topics/categories",,,Combinatorics
7.5,Graph Coloring,k-Graph Coloring,,,2-Graph Coloring; 3-Graph Coloring; 4-Graph Coloring; 5-Graph Coloring; #k-Graph Coloring;,"Graph coloring is a special case of graph labeling; it is an assignment of labels traditionally called ""colors"" to elements of a graph subject to certain constraints. In this case, the number of colors we have is given as an input.","$n$: number of vertices
$m$: number of edges
$k$: number of colors given to color the graph",O(2^n*poly(n)),Omega(poly(n)),Combinatorics
7.5,Graph Coloring,Minimal Coloring,,,Chromatic Number; small#-Graph Coloring,Find coloring that minimizes number of colors,,,,
7.5,Graph Coloring,small#-Graph Coloring,,Minimal Coloring,,"Find coloring that minimizes number of colors to some reasonably small number? Probably somewhat heuristic, (would be great if they specified how approximate to chromatic number they get but i dont think they mostly do) ???",,,,
7.5,Graph Coloring,Chromatic Number,,Minimal Coloring,,"In this case, we wish to compute the chromatic number of a graph; that is, the smallest number of colors needed to color the graph.","$n$: number of vertices
$m$: number of edges",O(2^n*poly(n)),Omega(poly(n)),Combinatorics
7.5,Graph Coloring,2-Graph Coloring,,k-Graph Coloring,,"In this case, we wish to determine whether or not a graph is 2-colorable.","$n$: number of vertices
$m$: number of edges",O(m+n),Omega(m+n),Combinatorics
7.0,Graph Coloring,3-Graph Coloring,,k-Graph Coloring,3-Coloring a Random 3-Colorable Graph; k-coloring a 3-colorable graph,"In this case, we wish to determine whether or not a graph is 3-colorable.","$n$: number of vertices
$m$: number of edges",O(1.3289^n),Omega(poly(n)),Combinatorics
7.5,Graph Coloring,3-Coloring a Random 3-Colorable Graph,,3-Graph Coloring,,"In this problem, we are given a random 3-colorable graph G(3n, p, 3) generated on a graph with 3n vertices, and we wish to produce a 3-coloring of the graph.","$n$: number of vertices
$m$: number of edges",,,Combinatorics
7.5,Graph Coloring,k-coloring a 3-colorable graph,,3-Graph Coloring,,"In this problem, we wish to color any 3-colorable graph while minimizing the number of colors used.","$n$: number of vertices
$m$: number of edges",,,Combinatorics
8.0,Graph Coloring,4-Graph Coloring,,k-Graph Coloring,,"In this case, we wish to determine whether or not a graph is 4-colorable.","$n$: number of vertices
$m$: number of edges",O(1.7272^n),Omega(poly(n)),Combinatorics
,Graph Coloring,5-Graph Coloring,,k-Graph Coloring,,"In this case, we wish to determine whether or not a graph is 5-colorable.","$n$: number of vertices
$m$: number of edges",O((2-eps)^n) for some eps>0,Omega(poly(n)),Combinatorics
,Graph Coloring,#k-Graph Coloring,Chromatic Polynomial,k-Graph Coloring,#2-Graph Coloring; #3-Graph Coloring; #4-Graph Coloring; #5-Graph Coloring;,"In this case, the number of colors we have is given as an input, and we want to determine the number of all possible k-colorings of a graph. In other words, calculate the value of the chromatic polynomial of the graph with input k.","$n$: number of vertices
$m$: number of edges
$k$: number of colors given to color the graph",O(2^n*poly(n)),Omega(poly(n)),Combinatorics
,Graph Coloring,#2-Graph Coloring,,#k-Graph Coloring,,"In this case, we wish to determine the number of all possible 2-colorings of a graph.","$n$: number of vertices
$m$: number of edges",O(m+n),Omega(m+n),Combinatorics
,Graph Coloring,#3-Graph Coloring,,#k-Graph Coloring,,"In this case, we wish to determine the number of all possible 3-colorings of a graph.","$n$: number of vertices
$m$: number of edges",O(1.6262^n),Omega(poly(n)),Combinatorics
,Graph Coloring,#4-Graph Coloring,,#k-Graph Coloring,,"In this case, we wish to determine the number of all possible 4-colorings of a graph.","$n$: number of vertices
$m$: number of edges",O(1.9464^n),Omega(poly(n)),Combinatorics
,Graph Coloring,#5-Graph Coloring,,#k-Graph Coloring,,"In this case, we wish to determine the number of all possible 5-colorings of a graph.","$n$: number of vertices
$m$: number of edges",O(2^n*poly(n)),Omega(poly(n)),Combinatorics
,Boolean Satisfiability,SAT,Boolean Satisfiability,,Conjunctive Normal Form SAT; Disjunctive Normal Form SAT,Boolean satisfiability problems involve determining if there is an assignment of variables that satisfies a given boolean formula.,$n$: number of variables,,\Omega(\poly(n)),Combinatorics
,Boolean Satisfiability,Conjunctive Normal Form SAT,CNF-SAT,SAT,All-Equal-SAT; k-SAT; XOR-SAT; Horn SAT; MaxSAT,"CNF-SAT restricts the boolean formula to conjunctive normal form (CNF), meaning it is the AND of ORs.",$n$: number of variables,,\Omega(\poly(n)),Combinatorics
,Boolean Satisfiability,Disjunctive Normal Form SAT,DNF-SAT,SAT,,"DNF-SAT restricts the boolean formula to disjunctive normal form (DNF), meaning it is the OR of ANDs.",$n$: number of variables,\poly(n),,Combinatorics
,Boolean Satisfiability,1-in-3SAT,,3SAT,Monotone 1-in-3SAT; Monotone Not-Exactly-1-in-3SAT,1-in-3SAT restricts the boolean formula to CNF with 3 literals per clause and determines whether there is an assignment of variables such that exactly 1 of the 3 literals in each clause is TRUE,$n$: number of variables,,\Omega(\poly(n)),Combinatorics
,Boolean Satisfiability,Monotone 1-in-3SAT,,1-in-3SAT,,"Monotone 1-in-3SAT is 1-in-3SAT with the restriction that all of the literals in a clause are all positive (note: here, we don't allow clauses to be all negated literals)",$n$: number of variables,,\Omega(\poly(n)),Combinatorics
,Boolean Satisfiability,Monotone Not-Exactly-1-in-3SAT,,1-in-3SAT,,"Monotone Not-Exactly-1-in-3SAT is Monotone 1-in-3SAT, except that rather than exactly one variable in a clause being true, it requires exactly 0, 2, or 3 of the variables in a clause being true",$n$: number of variables,\poly(n),,Combinatorics
,Boolean Satisfiability,All-Equal-SAT,,Conjunctive Normal Form SAT,,"All-Equal-SAT restricts the boolean formula to CNF and determines whether there is an assignment of variables such that, for all of the clauses, all literals have the same boolean value",$n$: number of variables,,,Combinatorics
