family,variation,algorithm,year,time_class,time_expr,time_encoding,space_class,space_expr,looked_at,approximate,heuristic,randomized,model,authors,title,paper_url,doi,description,remarks
Matrix Product,Boolean Matrix Multiplication,"Le Gall, Nishimura",2013,,"O(n^2*poly(log(n))) if m \leq n^1.1514
O(m^0.5168n^1.4049*poly(log(n))) if n^1.1514 \leq m \leq n^{\omega-1/2}
O(n^\omega*poly(log(n))) if n^{\omega-1/2} \leq m \leq n^2",,,,1.0,,,,,"['François Le Gall', 'Harumichi Nishimura']",Quantum Algorithms for Matrix Products over Semirings,https://arxiv.org/pdf/1310.3898.pdf,10.48550/arXiv.1310.3898,Quantum algorithm,
Matrix Product,Matrix Product Verification,"Buhrman, Špalek",2004,,O(n^(5/3)),,,,1.0,,,,Quantum Computer,"['Harry Buhrman', 'Robert Špalek']",Quantum Verification of Matrix Products,https://arxiv.org/pdf/quant-ph/0409035.pdf,10.48550/arXiv.quant-ph/0409035,Quantum algorithm,
Matrix Product,Distance Product,"Le Gall, Nishimura",2013,5.4,O(2^(0.640\ell)*n^2.458),,,,1.0,,,,Quantum Computer,"['François Le Gall', 'Harumichi Nishimura']",Quantum Algorithms for Matrix Products over Semirings,https://arxiv.org/pdf/1310.3898.pdf,10.48550/arXiv.1310.3898,Quantum algorithm,
Matrix Product,Matrix Product,,2023,,O(log N s k^2/eps),,,,1.0,,,,,"['Nhat A. Nghiem', 'Tzu-Chieh Wei']",An improved method for quantum matrix multiplication,https://link.springer.com/article/10.1007/s11128-023-04054-6,10.1007/s11128-023-04054-6,,
Maximum Flow,Integer Maximum Flow,"Krauss, McCollum, Pendery, Litwin, Michaels 1",2020,3.0,O(E*D*(log(U))^2),,3.0,O(E * log(U)),2.0,0.0,,0.0,Quantum Computer,"['Krauss', 'McCollum', 'Pendery', 'Litwin', 'Michaels']",Solving the Max-Flow Problem on a Quantum Annealing Computer,https://ieeexplore.ieee.org/abstract/document/9224181,10.1109/TQE.2020.3031085,Quantum algorithm,
Maximum Flow,Integer Maximum Flow,"Ambainis, Špalek",2006,2.5,"O(min((V^(7/6) * E^(1/2) * U^(1/3)), (V^(1/2) * U^(1/2) * E)) * log(V))",,,,2.0,0.0,,0.0,Quantum Computer,"['Ambainis', 'Špalek']",Quantum Algorithms for Matching and Network Flows,https://link.springer.com/content/pdf/10.1007/11672142_13.pdf,10.1007/11672142_13,Quantum algorithm,
Maximum Flow,st-Maximum Flow,"Yu, Tsai, Chou, Kuo",2007,5.5,O(V^2.5),,,,2.0,0.0,,0.0,Quantum Computer,"['Yu', 'Tsai', 'Chou', 'Kuo']",Improving the network flow problem using quantum search,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4601381,10.1109/NANO.2007.4601381,Quantum algorithm,
Maximum Flow,st-Maximum Flow,"Apers, Auza, Lee",2024,4.5,O(V^1.83),,,,2.0,0.0,,0.0,Quantum Computer,"['Apers', 'Auza', 'Lee']",A sublinear query quantum algorithm for s-t minimum cut on dense simple graphs,https://arxiv.org/pdf/2110.15587,10.4855,Quantum algorithm,
Linear Programming,General Linear Programming,"Casares, Delgado",2020,4.5,O(L*sqrt(n)*(n+m)*kappa*norm(A)*\epsilon^-2),,,,0.0,,,,,"['Casares', 'Delgado']",A quantum interior-point predictor–corrector algorithm for linear programming,https://iopscience.iop.org/article/10.1088/1751-8121/abb439/meta,10.1088/1751-8121/abb439,Quantum algorithm,
Linear Programming,0-1 Linear Programming,"Arvind, Schuler",2002,8.0,O(2^(n/3)*n^d),,,,0.0,,,,Quantum Computer,"['Arvind', 'Schuler']",The Quantum Query Complexity of 0-1 Knapsack and Associated Claw Problems,https://arxiv.org/pdf/quant-ph/0212048,10.1007/978-3-540-24587-2_19,Quantum algorithm,
